"IDX";"FNAME";"HOBJ";"PROB";"X";"Y";"W";"H";"OBJ";"OPROB";"OX";"OY";"OW";"OH";"ONAME";"OID";"BOID"
"619";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"hcat";"0,88";"502";"565";"268";"315";"bust";"0,87";"553";"879";"212";"156";"A:\BC\e621.net-3955241.jpg";"H803";"B701"
"620";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"hcat";"0,91";"119";"783";"175";"196";"bust";"0,84";"146";"974";"132";"102";"A:\BC\e621.net-3955241.jpg";"H738";"B535"
"621";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"hcat";"0,95";"549";"0";"235";"277";"bust";"0,92";"578";"282";"164";"110";"A:\BC\e621.net-3955241.jpg";"H672";"B668"
"622";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"bust";"0,84";"146";"974";"132";"102";"belly";"0,56";"123";"1082";"149";"129";"A:\BC\e621.net-3955241.jpg";"B535";"S746"
"623";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"bust";"0,87";"553";"879";"212";"156";"belly";"0,83";"526";"1052";"237";"160";"A:\BC\e621.net-3955241.jpg";"B701";"S936"
"624";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"bust";"0,92";"578";"282";"164";"110";"belly";"0,87";"552";"426";"217";"185";"A:\BC\e621.net-3955241.jpg";"B668";"S483"
"625";"B:\BCB\2023-7x10\2023-7x10-C03\e621.net - 3955241 - nintendo+star_fox ~ fox_mccloud+krystal (arsworlds).jpg";"bust";"0,92";"137";"399";"183";"148";"belly";"0,66";"141";"593";"239";"247";"A:\BC\e621.net-3955241.jpg";"B573";"S635"
"626";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"head";"0,94";"837";"54";"191";"181";"shld";"0,93";"968";"230";"176";"180";"A:\BC\e621.net-749121.jpg";"H225";"B368"
"627";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"head";"0,86";"528";"913";"315";"298";"bust";"0,92";"651";"1195";"215";"181";"A:\BC\e621.net-749121.jpg";"H792";"B412"
"628";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"head";"0,86";"163";"9";"167";"159";"shld";"0,91";"98";"163";"120";"168";"A:\BC\e621.net-749121.jpg";"H657";"B786"
"629";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"head";"0,95";"994";"869";"281";"299";"bust";"0,94";"1002";"1187";"234";"180";"A:\BC\e621.net-749121.jpg";"H578";"B796"
"630";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"head";"0,86";"182";"705";"209";"171";"shld";"0,85";"132";"857";"118";"176";"A:\BC\e621.net-749121.jpg";"H532";"B599"
"631";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"shld";"0,93";"968";"230";"176";"180";"butt";"0,86";"830";"473";"376";"352";"A:\BC\e621.net-749121.jpg";"B368";"S628"
"632";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"shld";"0,91";"98";"163";"120";"168";"butt";"0,96";"55";"380";"408";"320";"A:\BC\e621.net-749121.jpg";"B786";"S640"
"633";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"shld";"0,85";"132";"857";"118";"176";"hip";"0,91";"0";"1059";"436";"327";"A:\BC\e621.net-749121.jpg";"B599";"S244"
"634";"B:\BCI\1x1\1x1-C03\e621.net - 749121 - mass_effect ~ tali'zorah (sundown_(artist)) [PNG].jpg";"butt";"0,95";"396";"70";"427";"349";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-749121.jpg";"S102";"none"
"635";"B:\BCI\1x1\1x1-C03\e621.net - 812142 - undertale ~ frisk_(undertale)+toriel (nobody147) [PNG].jpg";"head";"0,93";"0";"1392";"109";"148";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-812142.jpg";"H124";"none"
"636";"B:\BCI\1x1\1x1-C03\e621.net - 812142 - undertale ~ frisk_(undertale)+toriel (nobody147) [PNG].jpg";"head";"0,87";"86";"1375";"122";"162";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-812142.jpg";"H894";"none"
"637";"B:\BCI\1x1\1x1-C03\e621.net - 812142 - undertale ~ frisk_(undertale)+toriel (nobody147) [PNG].jpg";"hrabb";"0,94";"739";"18";"378";"541";"bust";"0,92";"597";"456";"861";"505";"A:\BC\e621.net-812142.jpg";"H802";"B139"
"638";"B:\BCI\1x1\1x1-C03\e621.net - 812142 - undertale ~ frisk_(undertale)+toriel (nobody147) [PNG].jpg";"head";"0,94";"332";"8";"306";"322";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-812142.jpg";"H587";"none"
"639";"B:\BCI\1x1\1x1-C03\e621.net - 812142 - undertale ~ frisk_(undertale)+toriel (nobody147) [PNG].jpg";"head";"0,96";"0";"0";"313";"355";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-812142.jpg";"H279";"none"
"640";"B:\BCI\1x1\1x1-C03\e621.net - 812142 - undertale ~ frisk_(undertale)+toriel (nobody147) [PNG].jpg";"bust";"0,92";"597";"456";"861";"505";"belly";"0,84";"231";"962";"1209";"578";"A:\BC\e621.net-812142.jpg";"B139";"S655"
"641";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"hdrago";"0,93";"85";"752";"238";"240";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-434932.jpg";"H284";"none"
"642";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"hdrago";"0,92";"589";"37";"240";"219";"bust";"0,94";"558";"275";"208";"157";"A:\BC\e621.net-434932.jpg";"H902";"B763"
"643";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"hdrago";"0,92";"343";"657";"226";"268";"none";"0";"0";"0";"0";"0";"A:\BC\e621.net-434932.jpg";"H682";"none"
"644";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"hdrago";"0,93";"1289";"44";"266";"197";"shld";"0,9";"1463";"249";"128";"165";"A:\BC\e621.net-434932.jpg";"H526";"B372"
"645";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"hdrago";"0,94";"74";"467";"317";"235";"wing";"0,91";"820";"73";"331";"607";"A:\BC\e621.net-434932.jpg";"H301";"B324"
"646";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"shld";"0,9";"1463";"249";"128";"165";"butt";"0,91";"1337";"484";"237";"226";"A:\BC\e621.net-434932.jpg";"B372";"S541"
"647";"B:\BCI\3x2\3x2-C05\e621.net - 434932 - misc ~ rose_lizrova (vader-san) [PNG].jpg";"bust";"0,94";"558";"275";"208";"157";"belly";"0,92";"573";"486";"223";"209";"A:\BC\e621.net-434932.jpg";"B763";"S557"
